32766,5150,1674,82,61
32766,5159,1666,78,54
32766,5158,1669,77,81
32766,5159,1668,87,64
32766,5162,1653,62,64
32766,5172,1660,77,94
32766,5179,1666,67,68
32766,5164,1641,89,73
32766,5156,1672,62,52
32766,5149,1663,68,43
32766,5159,1672,64,10
32766,5159,1644,55,38
32766,5145,1659,87,82
32766,5163,1656,90,64
32766,5149,1684,67,76
32766,5155,1686,59,65
32766,5160,1672,83,62
32766,5156,1661,77,64
32766,5155,1690,99,77
32766,5150,1664,88,77
32766,5167,1653,80,70
32766,5162,1667,89,70
32766,5170,1695,72,72
32766,5176,1663,112,57
32766,5166,1693,93,52
32766,5170,1685,77,78
32766,5156,1685,63,71
32766,5160,1672,75,60
32766,5158,1686,85,53
32766,5155,1700,96,69
32766,5154,1674,69,55
32766,5164,1675,64,49
32766,5143,1667,67,59
32766,5152,1653,69,59
32766,5150,1673,80,73
32766,5155,1687,48,40
32766,5160,1645,64,59
32766,5143,1664,81,76
32766,5149,1669,94,17
32766,5147,1660,76,67
32766,5122,1653,128,20
32766,5160,1670,71,46
32766,5151,1664,63,64
32766,5138,1653,81,76
32766,5145,1665,52,65
32766,5147,1651,82,46
32766,5137,1673,58,67
32766,5137,1654,67,57
32766,5130,1659,78,69
32766,5124,1663,60,64
32766,5136,1653,71,78
32766,5128,1642,106,87
32766,5096,1679,86,112
32766,5119,1668,64,75
32766,5110,1661,70,59
32766,5107,1640,71,55
32766,5114,1663,86,65
32766,5108,1648,33,67
32766,5090,1651,70,67
32766,5110,1645,60,73
32766,5084,1656,58,56
32766,5084,1660,55,76
32766,5091,1648,97,59
32766,5080,1658,46,65
32766,5088,1655,83,65
32766,5080,1645,69,80
32766,5087,1645,83,79
32766,5089,1658,101,54
32766,5089,1656,81,74
32766,5093,1635,62,74
32766,5064,1652,103,60
32766,5074,1658,57,75
32766,5073,1650,63,74
32766,5068,1652,82,72
32766,5079,1644,85,79
32766,5067,1647,71,71
32766,5078,1645,72,50
32766,5067,1648,67,73
32766,5082,1633,75,75
32766,5073,1644,84,61
32766,5080,1653,87,64
32766,5078,1640,62,80
32766,5034,1666,76,106
32766,5075,1655,94,66
32766,5077,1656,72,65
32766,5067,1638,42,57
32766,5065,1670,63,59
32766,5079,1664,77,78
32766,5073,1660,69,83
32766,5086,1652,82,71
32766,5076,1664,77,73
32766,5088,1658,58,72
32766,5066,1636,73,57
32766,5086,1650,79,67
32766,5074,1649,88,68
32766,5077,1658,88,75
32766,5081,1647,101,64
32766,5042,1641,65,72
32766,5077,1641,85,86
32766,5073,1659,97,80
32766,5082,1651,90,66
32766,5077,1659,42,80
32766,5062,1683,75,73
32766,5069,1649,78,64
32766,5056,1641,79,65
32766,5063,1659,66,90
32766,5066,1645,90,53
32766,5060,1645,68,61
32766,5065,1651,62,70
32766,5064,1640,65,56
32766,5078,1657,78,43
32766,5079,1655,81,92
32766,5085,1672,87,57
32766,5089,1635,57,81
32766,5066,1658,82,53
32766,5066,1636,43,61
32766,5069,1682,99,44
32766,5097,1677,74,77
32766,5079,1658,83,58
32766,5084,1656,82,74
32766,5096,1664,80,59
32766,5087,1672,81,71
32766,5082,1666,57,68
32766,5088,1662,84,70
32766,5092,1662,74,71
32766,5090,1657,84,84
32766,5089,1663,75,68
32766,5079,1667,86,56
32766,5096,1624,67,73
32766,5089,1668,80,67
32766,5082,1680,52,51
32766,5085,1672,42,88
32766,5088,1651,84,57
32766,5084,1668,106,72
32766,5093,1659,83,71
32766,5088,1653,76,76
32766,5112,1657,76,61
32766,5093,1673,72,60
32766,5097,1675,70,61
32766,5126,1664,84,63
32766,5124,1675,79,68
32766,5117,1677,91,45
32766,5125,1663,45,97
32766,5097,1685,91,40
32766,5129,1678,65,47
32766,5123,1698,65,48
32766,5150,1695,98,60
32766,5139,1675,56,98
32766,5171,1684,64,60
32766,5173,1698,57,52
32766,5167,1687,60,59
32766,5176,1689,90,56
32766,5176,1684,82,58
32766,5193,1686,85,57
32766,5202,1688,84,59
32766,5190,1706,77,87
32766,5193,1707,88,35
32766,5232,1696,79,61
32766,5213,1687,68,56
32766,5246,1694,65,66
32766,5254,1707,64,67
32766,5257,1724,63,101
32766,5289,1693,24,25
32766,5274,1694,76,70
32766,5290,1702,73,88
32766,5296,1712,83,79
32766,5317,1705,80,81
32766,5314,1711,81,76
32766,5314,1717,70,60
32766,5322,1711,73,74
32766,5350,1724,86,64
32766,5385,1717,89,60
32766,5361,1737,63,83
32766,5365,1738,58,43
32766,5394,1734,74,83
32766,5421,1704,55,53
32766,5396,1707,43,67
32766,5400,1731,68,69
32766,5412,1726,51,74
32766,5403,1720,70,71
32766,5392,1725,89,69
32766,5392,1720,71,66
32766,5371,1712,96,67
32766,5362,1716,71,80
32766,5348,1726,85,64
32766,5352,1707,64,63
32766,5324,1703,100,91
32766,5340,1725,83,62
