PPG,HR,RR,HRV,SpO2
19252.3827,0,0,0,0
19250.1175,0,0,0,0
19247.8626,0,0,0,0
19245.6791,0,0,0,0
19243.6299,0,0,0,0
19241.7777,0,0,0,0
19240.183,0,0,0,0
19238.902,0,0,0,0
19237.9843,0,0,0,0
19237.4718,0,0,0,0
19153.3626,0,0,0,0
19153.7073,0,0,0,0
19155.867,0,0,0,0
19159.7355,0,0,0,0
19165.1782,0,0,0,0
19172.0357,0,0,0,0
19180.1271,0,0,0,0
19189.2541,0,0,0,0
19199.2058,0,0,0,0
19209.7623,0,0,0,0
19220.7006,0,0,0,0
19231.7981,0,0,0,0
19242.8382,0,0,0,0
19253.6138,0,0,0,0
19263.9319,0,0,0,0
19273.6169,0,0,0,0
19282.5139,0,0,0,0
19290.4913,0,0,0,0
19297.4425,0,0,0,0
19303.2878,0,0,0,0
19307.9745,0,0,0,0
19311.4773,0,0,0,0
19313.7977,0,0,0,0
19314.9626,0,0,0,0
19315.0229,0,0,0,0
19314.0507,0,0,0,0
19312.1375,0,0,0,0
19309.3903,0,0,0,0
19305.9289,0,0,0,0
19301.8823,0,0,0,0
19297.3853,0,0,0,0
19292.5749,0,0,0,0
19287.587,0,0,0,0
19282.5533,0,0,0,0
19277.5982,0,0,0,0
19272.8364,0,0,0,0
19268.3707,0,0,0,0
19264.2901,0,0,0,0
19260.6688,0,0,0,0
19257.5648,0,0,0,0
19255.0198,0,0,0,0
19253.0596,0,0,0,0
19251.6937,0,0,0,0
19250.9172,0,0,0,0
19250.7113,0,0,0,0
19251.0449,0,0,0,0
19251.8766,0,0,0,0
19253.1564,0,0,0,0
19254.8281,0,0,0,0
19256.8306,0,0,0,0
19259.1007,0,0,0,0
19261.5746,0,0,0,0
19264.1902,0,0,0,0
19266.8881,0,0,0,0
19269.6137,0,0,0,0
19272.3177,0,0,0,0
19274.9578,0,0,0,0
19277.4987,0,0,0,0
19279.9127,0,0,0,0
19282.1797,0,0,0,0
19284.2873,0,0,0,0
19286.2299,0,0,0,0
19288.0083,0,0,0,0
19289.629,0,0,0,0
19291.1031,0,0,0,0
19292.4453,0,0,0,0
19293.6725,0,0,0,0
19294.8034,0,0,0,0
19295.8565,0,0,0,0
19296.8498,0,0,0,0
19297.7995,0,0,0,0
19298.7191,0,0,0,0
19299.6191,0,0,0,0
19300.506,0,0,0,0
19301.3824,0,0,0,0
19302.2466,0,0,0,0
19303.0925,0,0,0,0
19303.9101,0,0,0,0
19304.6855,0,0,0,0
19305.4017,0,0,0,0
19306.0387,0,0,0,0
19306.5748,0,0,0,0
19306.9867,0,0,0,0
19307.2507,0,0,0,0
19307.3434,0,0,0,0
19307.2424,0,0,0,0
19306.9269,0,0,0,0
19306.3789,0,0,0,0
19305.5832,0,0,0,0
19304.5283,0,0,0,0
19303.2066,0,0,0,0
19301.6148,0,0,0,0
19299.7542,0,0,0,0
19297.6304,0,0,0,0
19295.2537,0,0,0,0
19292.6386,0,0,0,0
19289.8037,0,0,0,0
19286.7714,0,0,0,0
19283.5675,0,0,0,0
19280.2207,0,0,0,0
19276.7621,0,0,0,0
19273.2246,0,0,0,0
19269.6427,0,0,0,0
19266.0515,0,0,0,0
19262.4865,0,0,0,0
19258.983,0,0,0,0
19255.5755,0,0,0,0
19252.2976,0,0,0,0
19249.1814,0,0,0,0
19246.2568,0,0,0,0
19243.552,0,0,0,0
19241.0923,0,0,0,0
19238.9008,0,0,0,0
19236.9973,0,0,0,0
19235.3988,0,0,0,0
19234.1192,0,0,0,0
19233.1688,0,0,0,0
19232.555,0,0,0,0
19218.64,0,0,0,0
19219.1827,0,0,0,0
19220.3315,0,0,0,0
19222.0806,0,0,0,0
19224.4152,0,0,0,0
19227.3117,0,0,0,0
19230.7379,0,0,0,0
19234.6532,0,0,0,0
19239.0099,0,0,0,0
19243.7531,0,0,0,0
19248.8221,0,0,0,0
19254.1509,0,0,0,0
19259.6698,0,0,0,0
19265.3062,0,0,0,0
19270.9858,0,0,0,0
19276.634,0,0,0,0
19282.1768,0,0,0,0
19287.5424,0,0,0,0
19292.6624,0,0,0,0
19297.4723,0,0,0,0
19301.9135,0,0,0,0
19305.9334,0,0,0,0
19309.4867,0,0,0,0
19312.5361,0,0,0,0
19315.0524,0,0,0,0
19317.0156,0,0,0,0
19318.4146,0,0,0,0
19319.2475,0,0,0,0
19319.5215,0,0,0,0
19319.2524,0,0,0,0
19318.4648,0,0,0,0
19317.191,0,0,0,0
19315.4705,0,0,0,0
19313.3492,0,0,0,0
19310.8786,0,0,0,0
19308.1146,0,0,0,0
19305.1167,0,0,0,0
19301.9466,0,0,0,0
19298.6674,0,0,0,0
19295.3423,0,0,0,0
19292.0332,0,0,0,0
19288.8001,0,0,0,0
19285.6998,0,0,0,0
19282.7851,0,0,0,0
19280.1034,0,0,0,0
19277.6967,0,0,0,0
19275.6004,0,0,0,0
19273.8428,0,0,0,0
19272.4449,0,0,0,0
19271.4201,0,0,0,0
19270.7737,0,0,0,0
19270.5035,0,0,0,0
19270.5995,0,0,0,0
19271.0442,0,0,0,0
19271.8135,0,0,0,0
19272.8766,0,0,0,0
19274.1971,0,0,0,0
19275.7334,0,0,0,0
19277.44,0,0,0,0
19279.2679,0,0,0,0
19281.1659,0,0,0,0
19283.0814,0,0,0,0
19284.9618,0,0,0,0
19286.7548,0,0,0,0
19288.4101,0,0,0,0
19289.8801,0,0,0,0
19291.1208,0,0,0,0
19292.0925,0,0,0,0
19292.761,0,0,0,0
19293.0977,0,0,0,0
19293.0809,0,0,0,0
19292.6954,0,0,0,0
19291.9333,0,0,0,0
19290.7944,0,0,0,0
19289.2856,0,0,0,0
19287.4214,0,0,0,0
19285.2231,0,0,0,0
19282.7192,0,0,0,0
19279.9441,0,0,0,0
19276.938,0,0,0,0
19273.7459,0,0,0,0
19270.4169,0,0,0,0
19267.0033,0,0,0,0
19263.5596,0,0,0,0
19260.1415,0,0,0,0
19256.8048,0,0,0,0
19253.6043,0,0,0,0
19250.5931,0,0,0,0
19247.821,0,0,0,0
19245.3341,0,0,0,0
19243.1738,0,0,0,0
19241.3757,0,0,0,0
19239.9692,0,0,0,0
19238.9771,0,0,0,0
19238.4147,0,0,0,0
19239.7572,0,0,0,0
19239.7583,0,0,0,0
19239.8824,0,0,0,0
19240.134,0,0,0,0
19240.5195,0,0,0,0
19241.0463,0,0,0,0
19241.7232,0,0,0,0
19242.5593,0,0,0,0
19243.5643,0,0,0,0
19244.7473,0,0,0,0
19246.117,0,0,0,0
19247.6806,0,0,0,0
19249.4434,0,0,0,0
19251.4086,0,0,0,0
19253.5765,0,0,0,0
19255.9441,0,0,0,0
19258.5049,0,0,0,0
19261.2487,0,0,0,0
19264.1612,0,0,0,0
19267.224,0,0,0,0
19270.415,0,0,0,0
19273.7081,0,0,0,0
19277.074,0,0,0,0
19280.4802,0,0,0,0
19283.8918,0,0,0,0
19287.272,0,0,0,0
19290.5827,0,0,0,0
19293.7856,0,0,0,0
19296.8427,0,0,0,0
19299.7171,0,0,0,0
19302.374,0,0,0,0
19304.7815,0,0,0,0
19306.9112,0,0,0,0
19308.7389,0,0,0,0
19310.2455,0,0,0,0
19311.4169,0,0,0,0
19312.245,0,0,0,0
19312.7275,0,0,0,0
19312.8682,0,0,0,0
19312.677,0,0,0,0
19312.1695,0,0,0,0
19311.3667,0,0,0,0
19310.295,0,0,0,0
19308.9847,0,0,0,0
19307.4703,0,0,0,0
19305.7889,0,0,0,0
19303.9797,0,0,0,0
19302.0832,0,0,0,0
19300.14,0,0,0,0
19298.19,0,0,0,0
19296.2714,0,0,0,0
19294.4199,0,0,0,0
19292.6678,0,0,0,0
19291.0434,0,0,0,0
19289.5705,0,0,0,0
19288.2674,0,0,0,0
19287.1472,0,0,0,0
19286.2172,0,0,0,0
19285.4789,0,0,0,0
19284.9281,0,0,0,0
19284.5553,0,0,0,0
19284.3456,0,0,0,0
19284.2797,0,0,0,0
19284.3343,0,0,0,0
19284.4827,0,0,0,0
19284.6955,0,0,0,0
19284.9416,0,0,0,0
19285.1891,0,0,0,0
19285.4059,0,0,0,0
19285.5607,0,0,0,0
19285.6236,0,0,0,0
19285.5673,0,0,0,0
19285.3671,0,0,0,0
19285.0023,0,0,0,0
19284.4557,0,0,0,0
19283.7149,0,0,0,0
19282.772,0,0,0,0
19281.6238,0,0,0,0
19280.272,0,0,0,0
19278.7229,0,0,0,0
19276.9871,0,0,0,0
19275.0797,0,0,0,0
19273.0191,0,0,0,0
19270.8273,0,0,0,0
19268.5285,0,0,0,0
19266.1495,0,0,0,0
19263.7184,0,0,0,0
19261.2641,0,0,0,0
19258.8158,0,0,0,0
19256.4025,0,0,0,0
19254.0523,0,0,0,0
19251.7917,0,0,0,0
19249.6458,0,0,0,0
19247.6373,0,0,0,0
19245.7866,0,0,0,0
19244.1114,0,0,0,0
19242.6265,0,0,0,0
19241.3441,0,0,0,0
19240.2733,0,0,0,0
19239.4207,0,0,0,0
19238.7901,0,0,0,0
19238.383,0,0,0,0
19078.8572,0,0,0,0
19079.0186,0,0,0,0
19080.5036,0,0,0,0
19083.235,0,0,0,0
19087.132,0,0,0,0
19092.1132,0,0,0,0
19098.0976,0,0,0,0
19105.0061,0,0,0,0
19112.7626,0,0,0,0
19121.2943,0,0,0,0
19130.5319,0,0,0,0
19140.4098,0,0,0,0
19150.8649,0,0,0,0
19161.8365,0,0,0,0
19173.2651,0,0,0,0
19185.091,0,0,0,0
19197.2537,0,0,0,0
19209.6906,0,0,0,0
19222.3356,0,0,0,0
19235.1187,0,0,0,0
19247.9652,0,0,0,0
19260.795,0,0,0,0
19273.523,0,0,0,0
19286.059,0,0,0,0
19298.3083,0,0,0,0
19310.173,0,0,0,0
19321.5528,0,0,0,0
19332.347,0,0,0,0
19342.4558,0,0,0,0
19351.783,0,0,0,0
19360.2377,0,0,0,0
19367.7365,0,0,0,0
19374.2059,0,0,0,0
19379.5846,0,0,0,0
19383.8248,0,0,0,0
19386.8947,0,0,0,0
19388.7793,0,0,0,0
19389.4815,0,0,0,0
19389.023,0,0,0,0
19387.444,0,0,0,0
19384.8033,0,0,0,0
19381.1772,0,0,0,0
19376.658,0,0,0,0
19371.3527,0,0,0,0
19365.3807,0,0,0,0
19358.8709,0,0,0,0
19351.9594,0,0,0,0
19344.7862,0,0,0,0
19337.4921,0,0,0,0
19330.2154,0,0,0,0
19323.089,0,0,0,0
19316.2369,0,0,0,0
19309.7721,0,0,0,0
19303.7934,0,0,0,0
19298.3838,0,0,0,0
19293.6084,0,0,0,0
19289.5136,0,0,0,0
19286.1259,0,0,0,0
19283.4524,0,0,0,0
19281.4807,0,0,0,0
19280.1798,0,0,0,0
19279.5018,0,0,0,0
19279.3833,0,0,0,0
19279.7482,0,0,0,0
19280.5097,0,0,0,0
19281.5733,0,0,0,0
19282.8398,0,0,0,0
19284.2082,0,0,0,0
19285.5789,0,0,0,0
19286.8561,0,0,0,0
19287.951,0,0,0,0
19288.7842,0,0,0,0
19289.2873,0,0,0,0
19289.405,0,0,0,0
19289.0964,0,0,0,0
19288.3355,0,0,0,0
19287.1118,0,0,0,0
19285.4301,0,0,0,0
19283.3095,0,0,0,0
19280.783,0,0,0,0
19277.8957,0,0,0,0
19274.703,0,0,0,0
19271.2686,0,0,0,0
19267.6623,0,0,0,0
19263.9579,0,0,0,0
19260.2302,0,0,0,0
19256.5532,0,0,0,0
19252.9975,0,0,0,0
19249.6286,0,0,0,0
19246.5044,0,0,0,0
19243.6744,0,0,0,0
19241.178,0,0,0,0
19239.0438,0,0,0,0
19237.2893,0,0,0,0
19235.9206,0,0,0,0
19234.933,0,0,0,0
19234.3113,0,0,0,0
19256.0084,0,0,0,0
19256.0591,0,0,0,0
19256.1993,0,0,0,0
19256.4496,0,0,0,0
19256.8301,0,0,0,0
19257.3597,0,0,0,0
19258.0544,0,0,0,0
19258.9277,0,0,0,0
19259.9891,0,0,0,0
19261.2436,0,0,0,0
19262.6918,0,0,0,0
19264.3289,0,0,0,0
19266.1449,0,0,0,0
19268.1247,0,0,0,0
19270.2481,0,0,0,0
19272.4902,0,0,0,0
19274.822,0,0,0,0
19277.2112,0,0,0,0
19279.6227,0,0,0,0
19282.0199,0,0,0,0
19284.3652,0,0,0,0
19286.6215,0,0,0,0
19288.7532,0,0,0,0
19290.7269,0,0,0,0
19292.5127,0,0,0,0
19294.0849,0,0,0,0
19295.4229,0,0,0,0
19296.5118,0,0,0,0
19297.3426,0,0,0,0
19297.9129,0,0,0,0
19298.2264,0,0,0,0
19298.2935,0,0,0,0
19298.1301,0,0,0,0
19297.758,0,0,0,0
19297.2032,0,0,0,0
19296.496,0,0,0,0
19295.6695,0,0,0,0
19294.7586,0,0,0,0
19293.7988,0,0,0,0
19292.8253,0,0,0,0
19291.8718,0,0,0,0
19290.969,0,0,0,0
