PPG,HR,RR,HRV,SpO2
18371.9337,0,0,0,0
18372.0472,0,0,0,0
18371.9485,0,0,0,0
18371.6272,0,0,0,0
18371.0811,0,0,0,0
18370.3158,0,0,0,0
18369.3446,0,0,0,0
18368.1882,0,0,0,0
18366.8736,0,0,0,0
18365.4334,0,0,0,0
18363.9043,0,0,0,0
18362.3265,0,0,0,0
18360.7417,0,0,0,0
18359.1917,0,0,0,0
18357.7175,0,0,0,0
18356.3573,0,0,0,0
18355.1456,0,0,0,0
18354.1121,0,0,0,0
18353.2804,0,0,0,0
18352.6676,0,0,0,0
18352.2835,0,0,0,0
18329.1064,0,0,0,0
18329.2643,0,0,0,0
18329.8068,0,0,0,0
18330.7516,0,0,0,0
18332.1076,0,0,0,0
18333.8745,0,0,0,0
18336.0426,0,0,0,0
18338.5923,0,0,0,0
18341.4949,0,0,0,0
18344.7124,0,0,0,0
18348.199,0,0,0,0
18351.9017,0,0,0,0
18355.7617,0,0,0,0
18359.7157,0,0,0,0
18363.6977,0,0,0,0
18367.6406,0,0,0,0
18371.4779,0,0,0,0
18375.1456,0,0,0,0
18378.5837,0,0,0,0
18381.7378,0,0,0,0
18384.5608,0,0,0,0
18387.0137,0,0,0,0
18389.0669,0,0,0,0
18390.7007,0,0,0,0
18391.9062,0,0,0,0
18392.6846,0,0,0,0
18393.0478,0,0,0,0
18393.0175,0,0,0,0
18392.6245,0,0,0,0
18391.9076,0,0,0,0
18390.9124,0,0,0,0
18389.6899,0,0,0,0
18388.2947,0,0,0,0
18386.7833,0,0,0,0
18385.2124,0,0,0,0
18383.6372,0,0,0,0
18382.1098,0,0,0,0
18380.6771,0,0,0,0
18379.3801,0,0,0,0
18378.2522,0,0,0,0
18377.3188,0,0,0,0
18376.5959,0,0,0,0
18376.0902,0,0,0,0
18375.7993,0,0,0,0
18375.7111,0,0,0,0
18375.8052,0,0,0,0
18376.0533,0,0,0,0
18376.4204,0,0,0,0
18376.8658,0,0,0,0
18377.3452,0,0,0,0
18377.8117,0,0,0,0
18378.2175,0,0,0,0
18378.5161,0,0,0,0
18378.6634,0,0,0,0
18378.6197,0,0,0,0
18378.3506,0,0,0,0
18377.8287,0,0,0,0
18377.0347,0,0,0,0
18375.9575,0,0,0,0
18374.5955,0,0,0,0
18372.9562,0,0,0,0
18371.0563,0,0,0,0
18368.9212,0,0,0,0
18366.5845,0,0,0,0
18364.0869,0,0,0,0
18361.4748,0,0,0,0
18358.7993,0,0,0,0
18356.1144,0,0,0,0
18353.4755,0,0,0,0
18350.9377,0,0,0,0
18348.5539,0,0,0,0
18346.3738,0,0,0,0
18344.4416,0,0,0,0
18342.7954,0,0,0,0
18341.4656,0,0,0,0
18340.4743,0,0,0,0
18339.8343,0,0,0,0
18355.3053,0,0,0,0
18355.3404,0,0,0,0
18355.5992,0,0,0,0
18356.0976,0,0,0,0
18356.8435,0,0,0,0
18357.8367,0,0,0,0
18359.0686,0,0,0,0
18360.5227,0,0,0,0
18362.175,0,0,0,0
18363.9948,0,0,0,0
18365.9453,0,0,0,0
18367.9854,0,0,0,0
18370.0702,0,0,0,0
18372.153,0,0,0,0
18374.1866,0,0,0,0
18376.1245,0,0,0,0
18377.9224,0,0,0,0
18379.54,0,0,0,0
18380.9414,0,0,0,0
18382.0968,0,0,0,0
18382.9834,0,0,0,0
18383.5853,0,0,0,0
18383.8948,0,0,0,0
18383.9122,0,0,0,0
18383.6455,0,0,0,0
18383.1104,0,0,0,0
18382.3295,0,0,0,0
18381.332,0,0,0,0
18380.152,0,0,0,0
18378.8279,0,0,0,0
18377.4013,0,0,0,0
18375.9152,0,0,0,0
18374.413,0,0,0,0
18372.9374,0,0,0,0
18371.5285,0,0,0,0
18370.2235,0,0,0,0
18369.0546,0,0,0,0
18368.0493,0,0,0,0
